thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
688256.SH,20190331,,,-22706450.06,14246659.36,,,上游
688041.SH,20190331,,,,,,,上游
603019.SH,20190331,15332706296.34,73.333,52016636.5,2242091006.26,11243936907.71,4088769388.63,上游
002049.SZ,20190331,5728043247.21,32.3334,66834226.15,669142960.93,1852070808.46,3875972438.75,上游
688008.SH,20190331,4378212800.0,,225740428.46,404717097.14,,4055229800.0,上游
300474.SZ,20190331,2425301969.83,7.8736,20580323.86,88424038.07,190959375.09,2234342594.74,上游
300308.SZ,20190331,9484712741.76,32.4163,99499938.81,875646836.85,3074596949.79,6410115791.97,上游
300502.SZ,20190331,1414616559.24,17.2922,32411344.91,223886415.14,244617883.68,1169998675.56,上游
300394.SZ,20190331,1235763371.58,10.3748,33747351.46,111909251.16,128207903.93,1107555467.65,上游
002281.SZ,20190331,6040404064.23,41.8955,57487761.43,1219084111.81,2530658646.64,3509745417.59,上游
000988.SZ,20190331,8565453929.03,31.557,99043003.98,1151036902.03,2703001468.77,5862452460.26,上游
000977.SZ,20190331,24754503955.54,62.2803,86256333.86,9693720176.05,15417173214.89,9337330740.65,上游
002463.SZ,20190331,7052318798.0,40.6252,162451125.0,1363278032.0,2865016987.0,4187301811.0,上游
300476.SZ,20190331,5543907748.12,44.5664,96913508.5,776432144.24,2470719039.32,3073188708.8,上游
600183.SH,20190331,13459633932.73,47.2414,266356540.52,2735295771.57,6358516783.21,7101117149.52,上游
688981.SH,20190331,15100865000.0,40.7473,298508148.22,4624563624.06,6153190000.0,8947675000.0,上游
002371.SZ,20190331,10154249447.15,62.8676,28072894.99,707938610.32,6383734688.32,3770514758.83,上游
688012.SH,20190331,3443113321.07,38.1061,13828602.13,376288946.91,1312034640.35,2131078680.72,上游
300223.SZ,20190331,1217098341.32,4.462,2452600.53,48999811.12,54306389.69,1162791951.63,上游
603986.SH,20190331,2766910426.9,27.6636,39567218.6,456337509.24,765427026.98,2001483399.92,上游
002230.SZ,20190331,15260258733.32,44.7598,124835335.32,1958367539.17,6830467856.6,8429790876.72,中游
688111.SH,20190331,1644965758.81,24.6054,47781217.87,284398777.85,404750417.36,1240215341.45,中游
300229.SZ,20190331,2619265068.66,27.0724,8056262.47,206007708.27,709098023.72,1910167044.94,中游
688327.SH,20190331,,,,,,,中游
002415.SZ,20190331,60547762104.6,34.6206,1517925039.43,9942448619.42,20961980552.49,39585781552.11,中游
603160.SH,20190331,5786484896.7,20.6564,414214424.07,1224785064.56,1195277884.6,4591207012.1,中游
300033.SZ,20190331,4120159135.08,22.9742,100390208.29,286637038.31,946571770.19,3173587364.89,中游
